GMM, minDCF NO PCA with nTarget 2,nNonTarget8,MTypeTargetdiagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.4492005076142132
GMM, minDCF NO PCA with nTarget 2,nNonTarget8,MTypeTargettied diagonal,MtypeNonTargte mvg, and prior 0.1 is 0.42980964467005073
GMM, minDCF NO PCA with nTarget 2,nNonTarget8,MTypeTargettied diagonal,MtypeNonTargte tied, and prior 0.1 is 0.42126903553299494
GMM, minDCF NO PCA with nTarget 2,nNonTarget8,MTypeTargettied diagonal,MtypeNonTargte diagonal, and prior 0.1 is 0.418261421319797
GMM, minDCF NO PCA with nTarget 2,nNonTarget8,MTypeTargettied diagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.452994923857868
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetmvg,MtypeNonTargte mvg, and prior 0.1 is 0.39040609137055843
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetmvg,MtypeNonTargte tied, and prior 0.1 is 0.3680837563451776
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetmvg,MtypeNonTargte diagonal, and prior 0.1 is 0.3837690355329949
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetmvg,MtypeNonTargte tied diagonal, and prior 0.1 is 0.39972081218274114
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied,MtypeNonTargte mvg, and prior 0.1 is 0.3948096446700508
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied,MtypeNonTargte tied, and prior 0.1 is 0.3776522842639594
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied,MtypeNonTargte diagonal, and prior 0.1 is 0.38420050761421326
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied,MtypeNonTargte tied diagonal, and prior 0.1 is 0.401015228426396
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetdiagonal,MtypeNonTargte mvg, and prior 0.1 is 0.3906725888324873
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetdiagonal,MtypeNonTargte tied, and prior 0.1 is 0.3672208121827411
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetdiagonal,MtypeNonTargte diagonal, and prior 0.1 is 0.38747461928934007
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargetdiagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.40678934010152284
